SEASON,COUNTRY,CITY,WINNER,SCORE,STADIUM,REFEREE,REFEREE MOTHERCOUNTRY,LOSER,LATITUDE,LONGITUDE
1992-1993,Germany,Munich,Olympique de Marseille,1-0,Olympiastadion,Kurt Röthlisberger,Switzerland,AC Milan,52.5147,13.2393
1993-1994,Greece,Athens,Ac Milan,4-0,Olympic Stadium,Philip Don ,England,FC Barcelona,51.5383,0.0166
1994-1995,Austria,Vienna,AFC Ajax,1-0,Praterstadion,Ion Craciunescu,Romania,AC Milan,48.2197,16.4117
1995-1996,Italy,Rome,Juventus,4-2-Pen,Stadio Olimpico,Manuel Diaz Veja,Spain,AFC Ajax,41.9342,12.4544
1996-1997,Germany,Munich,Borussia Dortmund,3-1,Olympiastadion,Sandor Puhl ,Hungary,Juventus,52.5147,13.2393
1997-1998,Netherlands,Amsterdam,Real Madrid FC,1-0,Amsterdam Arena,Hellmut Krug,Germany,Juventus,52.3143,4.9418
1998-1999,Spain,Barcelona,Manchester United FC,2-1,Camp Nou, Hellmut Krug,Germany,FC Bayern München,41.3809,2.1228
1999-2000,France,Paris St.-Denis,Real Madrid CF,3-0,Stade de France,Stefano Braschi,Italy,Valencia FC,48.9247,2.36
2000-2001,Italy,Milan,FC Bayern München,5-4-Pen,Stadio San Siro,Dick Jol,Netherlands,Valencia FC,45.4789,9.1236
2001-2002,Scotland,Glasgow,Real Madrid CF,2-1,Hampden Park ,Urs Meier ,Switzerland,Bayer 04 Leverkusen,55.8258,-4.2514
2002-2003,England,Manchester,AC Milan,2-3-Pen,Old Trafford, Markus Merk ,Germany,Juventus,53.4631,-2.2913
2003-2004,Germany,Gelsenkirchen,FC Porto,0-3,Arena AufSchalke, Kim Milton Nielsen,Denmark,AS Monaco FC,51.5545,7.0675
2004-2005,Turkey,Istanbul,Liverpool FC,2-3-Pen,Atatürk Olimpiyat Stadi,Manuel Mejuto González,Spain,AC Milan,41.0568,28.983
2005-2006,France,Paris St.-Denis,FC Barcelona,2-1,Stade de France,Terje Hauge,Norway,Arsenal FC,48.9247,2.36
2006-2007,Greece,Athens,AC Milan,2-1,OAKA - Spiros Louis,Herbert Fandel ,Germany,Liverpool FC,38.0422,23.7872
2007-2008,Russia,Moscow,Manchester United FC,6-5-Pen,Luzhniki,Lubos Michel ,Slovakia,Chelsea FC,55.7158,37.5539
2008-2009,Italy,Rome,FC Barcelona,2-0,Stadio Olimpico,Massimo Busacca ,Switzerland,Manchester United FC,41.9342,12.4544
2009-2010,Spain,Madrid,FC Internazionale Milan,0-2,Estadio Santiago Bernabéu, Howard Webb ,England,FC Bayern München,40.4531,-3.6883
2010-2011,England,London,FC Barcelona,3-1,New Wembley Stadium, Viktor Kassei ,Hungary,Manchester United FC,51.556,0.2799
2011-2012,Germany,Munich,Chelsea FC,3-4-Pen,Fussball Arena München, Pedro Proença,Portugal,FC Bayern München,48.2188,11.6241
2012-2013,England,London,FC Bayern München,1-2,Wembley,Nicola Rizzoli,Italy,Borussia Dortmund,51.556,0.2799
2013-2014,Portugal,Lisbon,Real Madrid CF,4-1,Estádio do Sport Lisboa e Benfica,Björn Kuipers,Netherlands,Club Atlético de Madrid,38.7529,-9.1847
2014-2015,Germany,Berlin,FC Barcelona,1-3,Olympiastadion,Cüneyt Çakır ,Turkey,Juventus,52.5147,13.2393
2015-2016,Italy,Milan,Real Madrid FC,5-3-Pen,Stadio San Siro,Mark Clattenburg ,England,Club Atlético de Madrid,45.4781,9.1236
2016-2017,Wales,Cardiff,Real Madrid FC,1-4,National Stadium of Wales,Mark Clattenburg ,England,Juventus,51.4782,-3.1825
2017-2018,Ukraine,Kyiv,Real Madrid CF,3-1,NSC Olimpiysk,Milorad Mažić ,Serbia,Liverpool FC,50.4333,30.5167
2018-2019,Spain,Madrid,Liverpool FC,0-2,Estadio Metropolitan, Damir Skomina ,Slovenia,Tottenham Hotspur FC,40.4547,-3.7039
2019-2020,Portugal,Lisbon,FC Bayern Münche,0-1,Estádio do Sport Lisboa e Benfica,Björn Kuipers,Netherlands,Paris Saint-Germain,38.7529,-9.1847
2020-2021,Portugal,Porto,Chelsea FC,0-1,Estádio do Dragão,Antonio Mateu Lahoz ,Spain,Manchester City FC,41.1616,-8.5836
2021-2022,France,Paris St.-Denis,Real Madrid CF,0-1,Stade de France, Clément Turpin ,Italy,Liverpool FC,48.9247,2.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
